Provinsi,2019,2020,2021,2022,2023
Aceh,1493105,1556984,1603983,1664628,1724360
Sumatera Utara,3805113,3958746,4121027,4300716,4462721
Sumatera Barat,1417451,1487687,1551234,1628705,1693179
Riau,1735225,1853491,1964204,2074630,2173846
Jambi,954816,1006412,1061388,1112904,1160040
Sumatera Selatan,2109350,2208522,2267209,2372578,2484605
Bengkulu,555314,580843,605122,630451,656269
Lampung,2217701,2321192,2435522,2539699,2635235
Bangka Belitung,472186,492359,512970,536442,558014
Kepulauan Riau,575613,622888,651040,679353,704672
DKI Jakarta,4583706,4755494,4889186,5064418,5225077
Jawa Barat,14632901,15171560,15680032,16310301,16937850
Jawa Tengah,10393738,10727635,11039947,11438105,11820721
D.I Yogyakarta,1258383,1309877,1354846,1413515,1475831
Jawa Timur,12013382,12431589,12794841,13275133,13721107
Banten,338222,3499425,3649238,3828077,3994766
Bali,1466750,1519465,1570697,1630528,1701512
Nusa Tenggara Barat,1500116,1586289,1715992,1782714,1902309
Nusa Tenggara Timur,816443,929088,1012950,1104170,1192492
Kalimantan Barat,1190318,1270915,1344556,1430968,1520034
Kalimantan Tengah,648695,686862,727052,770861,817458
Kalimantan Selatan,1248392,1300110,1355582,1416062,1473022
Kalimantan Timur,1185813,1266043,1335582,1416062,1473022
Kalimantan Utara,59611,59610,59843,60418,64030
Sulawesi Utara,693861,725396,753474,783623,814281
Sulawesi Tengah,699040,750072,806493,864217,935794
Sulawesi Selatan,2277422,2392139,2504833,2623717,2748058
Sulawesi Tenggara,601659,652974,697123,741484,793645
Gorontalo,281702,300482,318493,334621,350128
Sulawesi Barat,277883,299397,318646,338373,356118
Maluku,269825,286885,299902,315047,327994
Maluku Utara,355760,380877,402378,429140,464669
Papua Barat,227471,243103,256367,270809,286931
Papua,440880,467597,491406,521463,549971
Indonesia,75797847,79102008,82155049,85636198,89153278
