Provinsi,2019,2020,2021,2022,2023
Aceh,11424,12065,12407,12707,12904
Sumatera Utara,10460,10795,11107,11301,11482
Sumatera Barat,6337,6490,6644,6794,6906
Riau,6075,6412,6680,6859,7130
Jambi,4499,4572,4716,4795,4837
Sumatera Selatan,6843,7069,7226,7466,7626
Bengkulu,3059,3143,3193,3233,3283
Lampung,4406,4593,4858,4990,4978
Bangka Belitung,4707,5133,5266,5408,5526
Kepulauan Riau,4333,2729,2831,2953,3049
DKI Jakarta,6250,6459,6568,6589,7087
Jawa Barat,17711,18421,19883,20372,19897
Jawa Tengah,23755,24486,25330,26711,26710
D.I Yogyakarta,3373,3538,3694,3819,4025
Jawa Timur,21969,20515,23854,24994,25011
Banten,3865,4010,4404,4218,4341
Bali,4298,4268,4315,4401,4397
Nusa Tenggara Barat,4398,4569,4744,4848,4917
Nusa Tenggara Timur,6713,7177,7451,7827,8189
Kalimantan Barat,5007,5100,5230,5400,5780
Kalimantan Tengah,4919,5027,5191,5351,5591
Kalimantan Selatan,6902,693,5869,6025,6366
Kalimantan Timur,6053,6459,6800,6625,6925
Kalimantan Utara,457,457,457,445,465
Sulawesi Utara,4184,4476,5637,5773,6007
Sulawesi Tengah,4474,4659,4841,4964,5171
Sulawesi Selatan,9592,9910,10193,10407,10518
Sulawesi Tenggara,5179,5575,5882,5989,6328
Gorontalo,2113,2269,2323,2317,2409
Sulawesi Barat,1816,1849,1921,1987,1987
Maluku,2177,2324,2387,2482,2752
Maluku Utara,3224,3529,3440,3576,3735
Papua Barat,2971,3047,3144,3282,3417
Papua,3882,4161,4392,4580,4708
Indonesia,218445,218949,230577,236629,242274
