Provinsi,2019,2020,2021,2022,2023
Aceh,1303772,1354112,1395573,1436434,1483479
Sumatera Utara,3560516,3707599,3879285,4029877,4185942
Sumatera Barat,1239902,1294655,1348751,1399809,1446897
Riau,1558844,1663114,1764526,1842537,1936633
Jambi,878535,928484,981722,1023238,1067285
Sumatera Selatan,1998169,2091309,2154289,2240385,2356358
Bengkulu,521915,545787,570844,591553,618184
Lampung,2101933,2192333,2293311,2353673,2441987
Bangka Belitung,431692,447844,466291,482935,500396
Kepulauan Riau,495554,535512,562955,583670,604457
DKI Jakarta,4220177,4326894,4431091,4670638,4864734
Jawa Barat,13629059,14100041,14594402,15053263,15939849
Jawa Tengah,9616510,9906550,10216911,10509675,10833630
D.I Yogyakarta,1152399,1201160,1249313,1294785,1349739
Jawa Timur,10918842,11305864,11642862,11979040,12385526
Banten,3080820,3225869,3370267,3501321,3664711
Bali,1212223,1263423,1302437,1343427,1398359
Nusa Tenggara Barat,1427162,1509537,1642900,1696435,1811269
Nusa Tenggara Timur,758498,867622,953395,1036252,1120916
Kalimantan Barat,1085364,1161542,1236873,1312056,1394593
Kalimantan Tengah,564340,599714,639789,657799,716523
Kalimantan Selatan,1142557,1192400,1247238,1294105,1341122
Kalimantan Timur,1089707,1163243,1228706,1231294,1297203
Kalimantan Utara,53807,53807,53809,53922,56800
Sulawesi Utara,646300,676465,705385,730420,759766
Sulawesi Tengah,641435,691165,747926,799366,867911
Sulawesi Selatan,2126681,2234187,2349282,2446619,2568432
Sulawesi Tenggara,556736,603632,647603,685497,737591
Gorontalo,263606,281599,300340,314008,328261
Sulawesi Barat,258197,278631,298259,315292,332695
Maluku,245857,263615,277573,290860,306816
Maluku Utara,330347,354192,376342,399731,434131
Papua Barat,202332,217135,230638,242676,258577
Papua,389405,415844,441416,467304,497980
Indonesia,69702979,72711040,75070789,78327897,81551348
