Provinsi,2019,2020,2021,2022,2023
Aceh,46098,48577,51157,53024,55282
Sumatera Utara,70347,72863,76129,79050,82040
Sumatera Barat,35352,36831,38400,39915,41426
Riau,32641,35716,39206,42115,45086
Jambi,19747,19747,23074,24436,25644
Sumatera Selatan,52892,39965,42571,45067,44448
Bengkulu,11046,11888,12827,13485,12413
Lampung,52771,56723,61821,65658,67355
Bangka Belitung,7732,8240,8676,9119,9558
Kepulauan Riau,7779,9079,9752,10366,10992
DKI Jakarta,43529,44765,46240,48055,49629
Jawa Barat,297856,313867,331585,347009,363088
Jawa Tengah,265949,275640,288159,299170,310234
D.I Yogyakarta,30602,31419,32674,33690,34771
Jawa Timur,324921,336349,347883,361562,369734
Banten,60720,64041,67635,70835,72864
Bali,38543,40018,41400,42884,44689
Nusa Tenggara Barat,26592,29106,29586,31506,33152
Nusa Tenggara Timur,17915,20002,21584,23247,25229
Kalimantan Barat,24244,26027,27699,29228,30677
Kalimantan Tengah,16423,17739,19221,20478,22057
Kalimantan Selatan,35520,37721,40026,41888,44419
Kalimantan Timur,21400,23497,25725,26807,29388
Kalimantan Utara,712,712,712,741,812
Sulawesi Utara,15478,15681,16209,16720,17359
Sulawesi Tengah,29095,30150,31144,31936,32930
Sulawesi Selatan,38346,40500,43011,45277,46825
Sulawesi Tenggara,12215,13712,14805,15703,16995
Gorontalo,6824,7124,7484,7804,8145
Sulawesi Barat,6443,6967,7469,7910,8221
Maluku,5680,6010,6243,6422,6733
Maluku Utara,8775,9440,9952,10484,11291
Papua Barat,5541,5919,6429,6787,7165
Papua,10264,10969,11607,12206,12747
Indonesia,1664092,1746008,1838283,1920615,1993078
