Provinsi,2019,2020,2021,2022,2023
Aceh,466.06,477.66,515.04,558.37,631.21
Sumatera Utara,1695.35,1588.88,1672.31,1808.45,1992.01
Sumatera Barat,535.31,526.93,573.70,639.01,730.29
Riau,1098.76,1069.61,1130.68,1236.21,1358.50
Jambi,386.29,372.64,394.86,437.41,473.90
Sumatera Selatan,926.16,891.39,938.33,1017.77,1140.58
Bengkulu,133.43,145.25,146.48,152.18,174.98
Lampung,587.24,593.53,645.49,738.96,854.76
Bangka Belitung,204.76,194.17,204.61,225.85,249.42
Kepulauan Riau,1079.88,267.21,984.31,1313.61,1422.00
DKI Jakarta,12684.09,10985.59,10994.55,12539.23,14001.63
Jawa Barat,6080.21,5797.60,6277.79,7610.34,9013.71
Jawa Tengah,3187.26,3168.80,3512.97,3789.54,4170.67
D.I Yogyakarta,736.27,697.83,699.88,809.96,894.24
Jawa Timur,5232.89,4884.40,5014.11,5454.49,5932.68
Banten,3163.81,28.90.11,3009.44,3407.59,3964.60
Bali,2800.13,1971.79,1833.48,2431.11,3033.84
Nusa Tenggara Barat,411.93,376.45,401.48,446.78,492.64
Nusa Tenggara Timur,237.44,232.18,238.66,270.56,316.24
Kalimantan Barat,567.38,554.95,584.47,625.63,692.01
Kalimantan Tengah,282.67,293.21,299.09,322.75,370.25
Kalimantan Selatan,543.08,510.85,533.07,589.15,662.18
Kalimantan Timur,1020.30,999.25,975.59,1029.29,1162.30
Kalimantan Utara,54.76,54.76,43.72,62.70,70.79
Sulawesi Utara,437.20,395.85,405.97,428.72,468.94
Sulawesi Tengah,163.62,173.56,190.55,210.68,242.85
Sulawesi Selatan,1181.91,1089.56,1133.23,1222.87,1352.63
Sulawesi Tenggara,200.26,194.12,211.60,231.58,261.49
Gorontalo,91.77,88.25,102.20,102.44,111.26
Sulawesi Barat,60.59,57.79,57.08,64.24,75.22
Maluku,132.53,128.93,135.77,148.59,155.26
Maluku Utara,93.77,96.70,109.62,124.15,135.84
Papua Barat,132.29,128.12,136.54,151.98,163.77
Papua,296.33,284.78,334.18,330.01,339.33
Indonesia,46905.74,42182.71,44440.85,50532.19,57112.02
