Provinsi,2019,2020,2021,2022,2023
Aceh,119.50,124.38,123.87,133.11,133.98
Sumatera Utara,411.26,412.21,415.31,419.50,420.80
Sumatera Barat,92.66,95.28,95.70,97.30,100.31
Riau,148.36,133.86,114.24,111.14,114.71
Jambi,35.60,38.01,36.67,40.79,42.33
Sumatera Selatan,132.67,132.40,131.67,147.23,147.68
Bengkulu,10.28,10.16,9.87,9.64,8.48
Lampung,122.90,114.80,123.62,126.75,129.48
Bangka Belitung,9.18,9.38,9.45,8.54,9.99
Kepulauan Riau,36.05,22.97,37.17,37.99,36.84
DKI Jakarta,253.07,231.59,200.41,195.20,207.71
Jawa Barat,204.16,377.70,372.14,398.45,428.79
Jawa Tengah,490.73,494.62,489.53,490.70,489.18
D.I Yogyakarta,57.07,61.71,60.77,62.70,64.81
Jawa Timur,618.39,624.45,607.74,601.69,590.40
Banten,85.56,86.89,82.89,84.26,86.12
Bali,70.94,70.41,68.06,65.66,63.09
Nusa Tenggara Barat,56.39,58.73,56.22,55.48,54.96
Nusa Tenggara Timur,14.64,15.63,17.90,17.77,18.15
Kalimantan Barat,46.81,48.00,46.74,47.99,47.67
Kalimantan Tengah,21.29,21.34,21.37,25.11,23.61
Kalimantan Selatan,59.79,61.11,62.58,63.73,65.37
Kalimantan Timur,53.77,53.01,50.76,47.13,46.09
Kalimantan Utara,5.94,3.58,2.27,6.25,6.11
Sulawesi Utara,44.97,46.91,46.79,40.07,38.67
Sulawesi Tengah,70.52,61.55,54.60,42.90,32.38
Sulawesi Selatan,136.19,139.41,133.98,130.47,130.31
Sulawesi Tenggara,18.17,19.67,19.29,19.70,21.56
Gorontalo,9.90,10.60,10.69,10.88,10.93
Sulawesi Barat,7.60,7.55,7.52,7.58,7.52
Maluku,7.67,7.66,7.57,7.64,7.82
Maluku Utara,9.34,9.57,9.69,10.35,10.70
Papua Barat,6.42,6.16,6.03,6.20,6.25
Papua,11.60,12.19,11.84,12.30,12.40
Indonesia,3479.40,3623.49,3544.95,3582.23,3615.20
