Provinsi,2019,2020,2021,2022,2023
Aceh,542.64,421.51,3001.78,3175.52,3514.18
Sumatera Utara,22407.08,22870.07,17027.65,19155.31,18227.36
Sumatera Barat,1744.12,3117.4,4396.18,3793.19,4072.56
Riau,852.32,716.38,5028.96,6102.26,6132.59
Jambi,122.81,85.54,730,811.27,649.02
Sumatera Selatan,16127.75,16849.8,11019.15,11239.63,12813.45
Bengkulu,152.12,158.67,2689.06,2730.75,2402.8
Lampung,40.91,41.55,5436.19,5630.72,5510.49
Bangka Belitung,1076.84,830.12,1498.09,1262.73,1159.43
Kepulauan Riau,3159.62,3196.39,3740.8,4111.73,4440.21
DKI Jakarta,13665.8,15574.47,18151.31,16232.67,16708.21
Jawa Barat,43032.21,41063.3,36319.81,39605.63,39566.5
Jawa Tengah,42131.6,41530.09,47027.18,65368.35,68376
D.I Yogyakarta,,,3.32,3.51,3.48
Jawa Timur,57028.55,57313.52,49249.66,45997.67,44355.38
Banten,47925.99,44375.27,53324.28,53257.39,52572.85
Bali,4066.01,4728.36,3864.03,3992.84,4614.4
Nusa Tenggara Barat,2116.28,2345.16,2541.46,2720.61,2939.57
Nusa Tenggara Timur,685.71,954.03,1339.61,1413.45,1526.55
Kalimantan Barat,729.5,234.34,3416.64,3587.22,3874.6
Kalimantan Tengah,349.29,49.85,2631.62,2671.59,2755.06
Kalimantan Selatan,6516.25,7044.68,2878.91,3083.98,3469.95
Kalimantan Timur,2735.56,1944.98,3908.24,4291.72,4980.21
Kalimantan Utara,306.1,261.92,619.17,614.94,688.4
Sulawesi Utara,918.89,908.75,2380.58,2230.69,2344.04
Sulawesi Tengah,1670.77,1414.47,1842.69,2324.74,2527.14
Sulawesi Selatan,7828.13,8439.27,7344.21,8253.97,9239.97
Sulawesi Tenggara,94.27,25.73,1181.79,1325.01,1475.1
Gorontalo,109.86,93.64,579.41,786.18,849.8
Sulawesi Barat,2.7,,249.45,321.1,236.79
Maluku,617.38,742.73,975.72,823.44,848.2
Maluku Utara,177.4,126.03,377.04,602.94,729.45
Papua Barat,537.47,1064.2,677.34,713.46,736.07
Papua,1083.85,522.52,1360.61,1441.52,1515.91
Indonesia,280555.81,279044.73,296811.95,319677.71,325855.69
