Provinsi,2019,2020,2021,2022,2023
Aceh,5.87,7.93,,,
Sumatera Utara,7056.17,6749.31,6524.45,6397.80,4551.14
Sumatera Barat,904.80,1235.15,976.70,1227.93
Riau,,,548.16,492.79,594.42
Jambi,,,,,
Sumatera Selatan,2300.97,3099.70,,,
Bengkulu,64.81,63.86,1415.16,1291.38,973.71
Lampung,,,735.62,910.39,635.05
Bangka Belitung,,,,,
Kepulauan Riau,,,,,
DKI Jakarta,,,,,
Jawa Barat,4411.98,5207.58,4602.52,5887.43,3963.80
Jawa Tengah,777.22,921.01,2113.68,2461.60,1521.98
D.I Yogyakarta,,,,,
Jawa Timur,1128.39,1116.98,1360.51,1457.19,1170.14
Banten,,,,,
Bali,,,6.27,,
Nusa Tenggara Barat,8.54,5.28,,,
Nusa Tenggara Timur,10.95,13.21,13.85,18.64,17.67
Kalimantan Barat,0.88,0.53,982.64,814.36,892.91
Kalimantan Tengah,,,,,
Kalimantan Selatan,113.23,161.14,153.59,156.71,114.22
Kalimantan Timur,,,,,
Kalimantan Utara,,,36.38,,
Sulawesi Utara,16.24,18.20,219.58,280.34,206.75
Sulawesi Tengah,1185.82,1209.17,1151.15,1549.65,1615.05
Sulawesi Selatan,999.84,1242.12,1502.10,1640.04,1594.83
Sulawesi Tenggara,2.88,2.88,27.12,,
Gorontalo,2.88,6.16,,,
Sulawesi Barat,,,,,
Maluku,,,,,
Maluku Utara,,,,,
Papua Barat,19.09,55.67,7.89,,
Papua,52.63,18.37,58.32,54.47,53.78
Indonesia,19063.18,19899.10,22694.14,24389.48,19133.38
