Provinsi,2019,2020,2021,2022,2023
Aceh,,,,,
Sumatera Utara,2873.85,1155.18,893.98,2734.20,4229.98
Sumatera Barat,,,,,
Riau,,,29.63,1141.19,1138.78
Jambi,,,,,
Sumatera Selatan,2250.36,2069.60,1894.61,2098.19,2365.53
Bengkulu,,,,,
Lampung,,,,,
Bangka Belitung,,,,,
Kepulauan Riau,107.98,361.07,537.11,1177.04,1153.87
DKI Jakarta,12642.21,14820.76,17361.73,16075.02,16505.46
Jawa Barat,7782.82,5844.90,4088.62,3722.19,4261.61
Jawa Tengah,2670.95,851.10,4471.36,4394.60,3236.01
D.I Yogyakarta,,,,,
Jawa Timur,7547.97,6927.67,7513.85,6809.22,7075.65
Banten,3475.43,2608.95,1523.58,1602.43,1173.08
Bali,,,,,
Nusa Tenggara Barat,39.70,,,,
Nusa Tenggara Timur,,,,,
Kalimantan Barat,,,,,
Kalimantan Tengah,,,,,
Kalimantan Selatan,71.49,8.78,,,
Kalimantan Timur,,,384.89,567.68,519.85
Kalimantan Utara,,,,,
Sulawesi Utara,,,,,
Sulawesi Tengah,,,,,
Sulawesi Selatan,979.81,1162.96,1515.78,1007.79,1137.60
Sulawesi Tenggara,,,,,
Gorontalo,,,,,
Sulawesi Barat,,,,,
Maluku,,,,,
Maluku Utara,,,,,
Papua Barat,,,,,
Papua,,,,,
Indonesia,40442.57,35810.97,40215.14,41329.56,42797.41
