Provinsi,2019,2020,2021,2022,2023
Aceh,196.50,126.81,1566.66,1707.76,1652.04
Sumatera Utara,2681.99,2871.23,1385.92,1052.95,171.55
Sumatera Barat,,,,,
Riau,208.83,194.16,1717.17,790.35,545.48
Jambi,121.97,85.54,554.43,624.36,516.81
Sumatera Selatan,1297.09,1192.61,80.39,118.40,75.38
Bengkulu,,,,,
Lampung,,,74.27,77.62,103.30
Bangka Belitung,,,,,
Kepulauan Riau,191.49,104.73,198.88,498.56,820.89
DKI Jakarta,,,,,
Jawa Barat,,,,,
Jawa Tengah,,,,,
D.I Yogyakarta,,,,,
Jawa Timur,,21.25,20.88,21.48,21.05
Banten,,,,,
Bali,,944.68,873.80,966.20,1210.58
Nusa Tenggara Barat,,1041.63,1223.79,1267.83,1425.52
Nusa Tenggara Timur,,234.65,310.03,311.65,326.96
Kalimantan Barat,,,,,
Kalimantan Tengah,,,828.56,810.83,687.41
Kalimantan Selatan,995.37,1317.80,,,
Kalimantan Timur,27.85,27.85,58.99,11.26,17.17
Kalimantan Utara,193.18,193.18,354.81,368.13,367.51
Sulawesi Utara,,,,,
Sulawesi Tengah,,,,,
Sulawesi Selatan,325.80,131.94,,,
Sulawesi Tenggara,,,167.92,274.09,382.82
Gorontalo,,,,,
Sulawesi Barat,,,,,
Maluku,285.73,162.26,337.84,386.27,
Maluku Utara,,,178.43,196.32,148.75
Papua Barat,43.35,54.25,303.23,437.55,450.77
Papua,164.43,137.98,914.70,939.23,987.29
Indonesia,6447.85,9446.02,10975.13,10813.06,10297.54
