Provinsi,2019,2020,2021,2022,2023
Aceh,,,,,
Sumatera Utara,1973.42,2006.91,2609.50,2851.69,2854.06
Sumatera Barat,675.36,675.36,703.26,723.93,713.35
Riau,,,,,
Jambi,,,,,
Sumatera Selatan,815.49,835.58,507.73,1100.50,999.33
Bengkulu,,,,,
Lampung,34.12,34.12,1596.10,1553.20,1606.07
Bangka Belitung,,,,,
Kepulauan Riau,,,,,
DKI Jakarta,,,,,
Jawa Barat,8932.84,8948.04,9277.40,12037.84,9481.86
Jawa Tengah,314.63,361.34,375.89,350.64,314.40
D.I Yogyakarta,,,,,
Jawa Timur,,,,,
Banten,,,,,
Bali,,,,,
Nusa Tenggara Barat,,,,,
Nusa Tenggara Timur,98.54,111.53,84.50,83.42,97.87
Kalimantan Barat,,,,,
Kalimantan Tengah,,,,,
Kalimantan Selatan,,,,,
Kalimantan Timur,,,,,
Kalimantan Utara,,,,,
Sulawesi Utara,,,775.00,864.24,868.77
Sulawesi Tengah,,,,,
Sulawesi Selatan,502.74,515.39,,,
Sulawesi Tenggara,,,,,
Gorontalo,,,,,
Sulawesi Barat,,,,,
Maluku,,,,,
Maluku Utara,,,,,
Papua Barat,,,,,
Papua,,,,,
Indonesia,13347.14,13488.27,15929.39,19565.45,16935.73
