Provinsi,2019,2020,2021,2022,2023
Aceh,3236,3582,3902,4106,4235
Sumatera Utara,4401,4519,4731,4893,5114
Sumatera Barat,516,566,643,709,765
Riau,343,420,513,633,763
Jambi,502,572,654,738,829
Sumatera Selatan,740,779,1455,2508,2725
Bengkulu,144,150,166,183,182
Lampung,923,1541,6382,8089,8912
Bangka Belitung,524,582,677,770,817
Kepulauan Riau,447,465,493,513,543
DKI Jakarta,5924,5912,5908,5840,5744
Jawa Barat,17923,18311,16438,17024,17645
Jawa Tengah,10936,11960,13468,14863,17033
D.I Yogyakarta,738,755,796,821,850
Jawa Timur,45766,68022,86480,100506,121755
Banten,6759,6890,7026,7138,7322
Bali,1231,1250,1281,1303,1345
Nusa Tenggara Barat,428,454,515,570,641
Nusa Tenggara Timur,216,239,276,336,409
Kalimantan Barat,534,581,615,646,703
Kalimantan Tengah,217,240,279,298,338
Kalimantan Selatan,651,679,745,779,823
Kalimantan Timur,484,506,583,583,639
Kalimantan Utara,56,55,55,55,60
Sulawesi Utara,439,453,501,513,541
Sulawesi Tengah,258,286,344,388,436
Sulawesi Selatan,2245,2504,2977,3460,4178
Sulawesi Tenggara,400,498,555,626,688
Gorontalo,138,149,152,161,180
Sulawesi Barat,145,159,174,196,227
Maluku,68,56,78,83,95
Maluku Utara,45,49,58,65,76
Papua Barat,35,37,39,39,43
Papua,83,93,103,118,119
Indonesia,107513,133322,159057,179553,206770
