Provinsi,2019,2020,2021,2022,2023
Aceh,2086,2580,2704,2848,2944
Sumatera Utara,16710,16998,17418,17885,18308
Sumatera Barat,3563,3762,3945,4486,4727
Riau,3491,4098,4279,4710,5096
Jambi,3175,3289,3743,4160,4864
Sumatera Selatan,5757,6202,6686,7199,7962
Bengkulu,995,1033,1071,1090,1131
Lampung,2120,2212,2676,2765,3121
Bangka Belitung,1305,1971,2124,2591,3343
Kepulauan Riau,2363,2215,2500,2813,3003
DKI Jakarta,9273,8825,8406,8679,9377
Jawa Barat,80966,85511,89968,94041,101825
Jawa Tengah,43789,46597,49023,51326,53588
D.I Yogyakarta,9771,10253,11151,11839,13313
Jawa Timur,53508,61269,65974,69831,72762
Banten,7418,7531,7785,8204,8968
Bali,5886,5937,6038,6107,6282
Nusa Tenggara Barat,2703,2825,2922,3076,3252
Nusa Tenggara Timur,680,696,762,793,1166
Kalimantan Barat,3306,3692,3937,4212,4486
Kalimantan Tengah,1372,1514,1631,1768,1925
Kalimantan Selatan,3310,3776,4158,4450,4905
Kalimantan Timur,2807,2905,3079,3035,3562
Kalimantan Utara,320,320,408,402,472
Sulawesi Utara,1036,1243,1534,1601,1719
Sulawesi Tengah,1023,1057,1099,1135,1168
Sulawesi Selatan,3811,4078,4390,4400,4531
Sulawesi Tenggara,895,1009,1266,1613,1780
Gorontalo,464,472,496,558,579
Sulawesi Barat,208,254,270,281,296
Maluku,303,307,316,341,364
Maluku Utara,528,567,889,979,1060
Papua Barat,738,728,743,791,803
Papua,801,832,850,909,985
Indonesia,276481,295558,314240,330919,353667
