Provinsi,2019,2020,2021,2022,2023
Aceh,2781.5,2937.99,3074.47,3154.01,3458.3
Sumatera Utara,8324.86,11192.85,11748.4,12059.81,12472.84
Sumatera Barat,3445.08,3429.29,3646.2,3630.43,3810.84
Riau,4646.79,4967.05,6108.32,7691.64,8212.56
Jambi,1932,2010.6,2111.92,2234.86,2371.18
Sumatera Selatan,5258.23,5312.77,5593.93,5878.31,6278.5
Bengkulu,955.47,1013.5,1058.61,1087.22,1155.97
Lampung,4686.09,4959.02,5176.94,5382.48,5761.91
Bangka Belitung,1166.93,1217.52,1369.2,1484.13,1610.81
Kepulauan Riau,3346.31,887.6,3478.63,3889.72,4209.39
DKI Jakarta,34107.88,32166.72,32709.3,34578.29,36992.35
Jawa Barat,54480.28,49542.25,53318.02,56226.11,58564.31
Jawa Tengah,24750.62,25090.74,26661.16,27564.64,28431.75
D.I Yogyakarta,2856.95,3012.45,3108.38,3326.61,3564.23
Jawa Timur,37228.94,37613.55,39457.19,40546.88,41886.3
Banten,24646.11,22268.71,23830.91,26705.67,26971.4
Bali,5706.73,4946.86,4708.02,5470.512,6354.53
Nusa Tenggara Barat,1950.25,2149.42,2290.19,2359.31,2572.6
Nusa Tenggara Timur,999.49,1133.48,1160.16,1206.91,1333.25
Kalimantan Barat,2572.69,2715.67,2912.98,3034.85,3308.59
Kalimantan Tengah,1358.77,1493.69,1597.89,1688.28,1831.08
Kalimantan Selatan,2819.16,2939,3050.71,3298.88,3693.87
Kalimantan Timur,3952.88,4123.86,4117.44,4287.19,4803.87
Kalimantan Utara,264.55,261.82,184.5,192.11,263.04
Sulawesi Utara,1787.87,1862.28,1940.26,1966.05,2095.38
Sulawesi Tengah,1146.23,1271.06,1353.85,1420.38,1602.92
Sulawesi Selatan,5945.56,5977.48,6597.87,7856.64,8558.03
Sulawesi Tenggara,986.89,1063.52,1149.84,1213.9,1342.95
Gorontalo,543.84,601.58,638.71,674.05,742.22
Sulawesi Barat,380.08,423.96,439.49,470.21,518.33
Maluku,519.13,548.12,582.88,607.1,633.56
Maluku Utara,537.52,591.34,637.04,672.32,1018.52
Papua Barat,510.01,547.46,583.21,621.46,667.98
Papua,1057.65,1132.4,1237.64,1280.52,1342.39
Indonesia,247653.33,241405.61,257634.26,273761.48,288435.75
