Provinsi,2019,2020,2021,2022,2023
Aceh,159.59,172.01,190.56,228.77,339.79
Sumatera Utara,291.53,2946.75,3082.97,3152.63,3137.13
Sumatera Barat,925.12,857.01,945.24,827.73,839.60
Riau,447.31,649.89,1593.61,2960.77,3180.60
Jambi,151.43,162.34,175.26,182.54,182.49
Sumatera Selatan,969.99,930.16,997.88,1067.48,1110.18
Bengkulu,73.95,74.18,79.73,81.81,83.24
Lampung,974.28,1005.18,1100.99,1172.18,1194.64
Bangka Belitung,185.66,224.70,334.89,393.27,431.14
Kepulauan Riau,775.80,39.42,886.17,914.29,1002.43
DKI Jakarta,4349.23,3831.81,4184.30,4140.34,3997.21
Jawa Barat,27646.05,21427.96,24077.60,25419.11,25026.44
Jawa Tengah,8269.00,7592.91,8332.48,8778.30,8408.15
D.I Yogyakarta,253.15,244.51,265.47,277.27,269.05
Jawa Timur,15695.49,15081.36,16469.27,17032.15,17166.79
Banten,15644.68,13027.20,14233.05,16605.16,15814.03
Bali,202.88,189.25,183.47,194.67,207.62
Nusa Tenggara Barat,132.18,154.03,178.58,200.45,238.93
Nusa Tenggara Timur,48.35,47.97,41.19,28.31,43.19
Kalimantan Barat,183.33,197.74,232.03,233.04,266.91
Kalimantan Tengah,89.82,129.50,167.24,188.61,192.44
Kalimantan Selatan,358.77,391.85,433.00,560.89,747.47
Kalimantan Timur,312.89,351.70,439.18,415.37,563.45
Kalimantan Utara,45.53,42.80,19.68,39.19,52.91
Sulawesi Utara,320.89,369.90,384.49,394.48,417.45
Sulawesi Tengah,36.25,46.21,64.61,79.98,121.86
Sulawesi Selatan,1262.67,1173.91,1635.68,2691.79,3008.86
Sulawesi Tenggara,47.08,53.80,59.27,68.11,83.06
Gorontalo,30.13,36.11,39.80,68.82,91.79
Sulawesi Barat,17.59,36.00,38.79,42.63,47.08
Maluku,9.99,10.13,10.51,11.64,12.08
Maluku Utara,5.97,5.83,6.15,8.88,285.47
Papua Barat,8.72,8.20,9.47,10.46,12.40
Papua,7.64,9.11,11.84,12.18,11.83
Indonesia,79932.93,71521.43,80904.45,88483.30,88587.71
