Provinsi,2019,2020,2021,2022,2023
Aceh,104.06,104.06,107.18,109.78,115.55
Sumatera Utara,141.08,143.55,146.38,152.05,158.68
Sumatera Barat,76.81,77.41,80.45,82.58,86.04
Riau,103.04,106.86,112.15,115.41,119.24
Jambi,46.76,45.98,48.35,50.96,54.12
Sumatera Selatan,106.09,104.76,109.06,116.00,123.84
Bengkulu,30.36,29.94,29.45,31.06,32.44
Lampung,71.23,70.33,73.25,72.64,76.91
Bangka Belitung,34.42,34.55,35.16,35.77,38.18
Kepulauan Riau,80.29,38.83,78.78,80.66,88.24
DKI Jakarta,1422.42,1319.03,1318.71,1396.61,1482.22
Jawa Barat,612.75,433.73,449.98,503.81,560.75
Jawa Tengah,282.44,282.37,284.09,304.65,324.66
D.I Yogyakarta,63.01,68.21,67.38,75.74,80.48
Jawa Timur,414.55,424.31,421.15,455.27,475.59
Banten,163.90,154.57,159.66,163.58,167.91
Bali,123.24,124.77,120.41,119.27,101.77
Nusa Tenggara Barat,44.18,46.92,48.17,50.50,51.72
Nusa Tenggara Timur,44.95,48.03,48.30,52.75,54.13
Kalimantan Barat,78.52,78.25,82.01,85.26,87.34
Kalimantan Tengah,61.41,61.30,61.82,64.76,68.02
Kalimantan Selatan,77.20,76.22,78.13,84.05,92.01
Kalimantan Timur,170.19,168.29,162.20,169.53,184.24
Kalimantan Utara,14.72,17.07,7.27,11.39,12.37
Sulawesi Utara,47.65,46.18,48.50,50.92,54.44
Sulawesi Tengah,51.90,52.03,53.61,56.93,62.58
Sulawesi Selatan,159.37,155.60,158.31,163.54,170.71
Sulawesi Tenggara,39.02,40.78,43.86,45.90,51.47
Gorontalo,36.99,38.04,39.51,40.22,40.75
Sulawesi Barat,21.43,21.94,20.28,22.38,24.02
Maluku,42.64,43.17,46.13,49.96,52.49
Maluku Utara,37.40,37.37,37.61,39.07,42.39
Papua Barat,39.21,40.35,43.46,47.43,50.51
Papua,74.92,79.35,87.21,94.70,99.30
Indonesia,4918.12,4614.14,4707.97,4995.12,5285.11
