Provinsi,2019,2020,2021,2022,2023
Aceh,1733.04,1868.28,1929.59,1895.07,1986.67
Sumatera Utara,5362.88,5704.42,5998.75,6025.69,6187.34
Sumatera Barat,1650.11,1717.86,1781.19,1791.64,1837.36
Riau,2635.80,2803.71,2935.09,3007.32,3142.80
Jambi,1236.10,1315.04,1373.30,1421.85,1501.59
Sumatera Selatan,2927.44,3068.57,3213.41,3295.08,3494.16
Bengkulu,669.68,716.60,751.99,766.42,805.45
Lampung,2745.52,2999.71,3032.14,3049.64,3239.05
Bangka Belitung,689.04,709.99,734.92,766.15,820.81
Kepulauan Riau,1271.82,485.52,1388.38,1422.52,1523.97
DKI Jakarta,13995.50,14576.96,14724.52,14824.00,15644.75
Jawa Barat,18755.78,20362.31,209o25.89,20871.52,21854.79
Jawa Tengah,11475.07,12556.06,12986.94,12961.71,13620.27
D.I Yogyakarta,1501.77,1703.52,1769.19,1813.22,1927.97
Jawa Timur,13914.66,15336.98,15618.65,15462.12,16004.06
Banten,5243.20,5794.78,6014.22,6049.89,6475.33
Bali,2344.57,2434.37,2343.14,2473.52,2738.18
Nusa Tenggara Barat,1227.61,1428.13,1510.06,1495.97,1608.71
Nusa Tenggara Timur,596.52,729.29,749.03,759.36,808.83
Kalimantan Barat,848.73,1731.85,1851.60,1906.59,2054.90
Kalimantan Tengah,1588.66,931.40,984.47,1010.07,1085.32
Kalimantan Selatan,1659.40,1782.55,1814.17,1846.17,1950.32
Kalimantan Timur,2213.45,2379.92,2317.19,2381.80,2609.42
Kalimantan Utara,129.66,129.66,103.83,104.31,114.27
Sulawesi Utara,854.68,931.93,970.99,960.20,1010.27
Sulawesi Tengah,764.68,878.17,927.29,957.59,1059.72
Sulawesi Selatan,2929.80,3168.73,3262.35,3323.67,3524.89
Sulawesi Tenggara,644.18,714.64,769.50,794.11,861.59
Gorontalo,347.89,400.82,416.64,417.10,447.65
Sulawesi Barat,256.21,283.18,296.13,308.54,336.31
Maluku,302.09,329.70,349.21,352.87,367.39
Maluku Utara,365.72,414.78,444.57,456.66,507.65
Papua Barat,296.06,335.28,355.32,368.73,393.89
Papua,612.36,688.57,726.39,754.32,794.03
Indonesia,103789.68,111413.28,115370.05,116095.41,122339.71
