Provinsi,2019,2020,2021,2022,2023
Aceh,199.25,191.60,208.23,228.92,251.10
Sumatera Utara,422.76,397.04,432.68,501.49,576.89
Sumatera Barat,165.07,154.80,169.92,192.18,217.24
Riau,213.52,203.12,222.55,260.79,296.71
Jambi,75.82,76.59,83.48,101.31,116.75
Sumatera Selatan,195.88,185.49,203.58,234.75,262.06
Bengkulu,37.77,37.37,41.09,46.12,51.39
Lampung,184.92,175.47,201.45,222.30,267.07
Bangka Belitung,43.87,44.73,50.17,54.55,61.27
Kepulauan Riau,102.46,33.65,103.82,120.65,135.91
DKI Jakarta,1403.57,1221.74,1286.81,1482.92,1658.84
Jawa Barat,1181.34,1142.95,1214.62,1422.88,1679.84
Jawa Tengah,1046.12,995.98,1055.15,1239.73,1418.82
D.I Yogyakarta,245.68,236.67,245.69,287.71,327.69
Jawa Timur,1352.96,1262.05,1326.27,1541.15,1716.78
Banten,344.95,315.16b,331.65,395.19,463.42
Bali,164.97,156.27,159.46,186.28,210.03
Nusa Tenggara Barat,77.96,85.16,95.68,110.13,125.64
Nusa Tenggara Timur,57.59,60.38,65.08,78.15,92.72
Kalimantan Barat,107.99,104.88,116.13,136.33,159.76
Kalimantan Tengah,54.85,56.94,63.90,76.98,91.44
Kalimantan Selatan,120.92,116.42,129.76,154.88,176.53
Kalimantan Timur,182.28,171.69,172.52,206.63,238.37
Kalimantan Utara,13.94,13.94,7.73,5.72,6.59
Sulawesi Utara,82.48,71.51,83.52,91.66,105.61
Sulawesi Tengah,59.26,59.54,63.19,72.30,83.53
Sulawesi Selatan,275.62,250.27,274.32,324.28,370.64
Sulawesi Tenggara,38.18,40.51,46.32,54.50,63.77
Gorontalo,27.17,27.76,29.87,34.59,39.83
Sulawesi Barat,16.66,17.50,19.69,24.84,28.19
Maluku,24.21,28.53,33.69,36.40,38.53
Maluku Utara,25.32,27.09,29.40,33.22,36.47
Papua Barat,27.31,29.35,32.39,36.67,41.16
Papua,54.80,58.40,66.18,77.01,85.50   
Indonesia,8627.46,8050.55,8665.99,10073.23,11496.09
