Provinsi,2019,2020,2021,2022,2023
Aceh,,,188.25,161.45,159.2
Sumatera Utara,1973.42,2006.91,38.09,38.54,34.42
Sumatera Barat,675.36,675.36,20.63,22.04,23.05
Riau,,,246.56,273.32,285.92
Jambi,,,,,
Sumatera Selatan,815.49,835.58,1.36,0.47,3.46
Bengkulu,,,95.24,102.84,107.43
Lampung,34.12,34.12,13.72,15.54,29.35
Bangka Belitung,,,555.46,413.38,280.1
Kepulauan Riau,,,364.59,387.16,395.04
DKI Jakarta,,,0.47,0.02,1.46
Jawa Barat,8932.84,8948.04,,,
Jawa Tengah,314.63,361.34,8.93,10.76,13.57
D.I Yogyakarta,,,,,
Jawa Timur,,,67.63,71.8,79.72
Banten,,,1.11,1.06,1.03
Bali,,,67.88,106.32,197.45
Nusa Tenggara Barat,,,468.94,557.15,505.76
Nusa Tenggara Timur,98.54,111.53,543.86,445.56,514.25
Kalimantan Barat,,,527.09,487.31,465.05
Kalimantan Tengah,,,169.12,170.46,86.68
Kalimantan Selatan,,,23.62,33.74,52.08
Kalimantan Timur,,,222.19,242.91,319.45
Kalimantan Utara,,,169.74,184.51,265.22
Sulawesi Utara,,,421.23,125.60,125.33
Sulawesi Tengah,,,477.08,528.60,609.89
Sulawesi Selatan,502.74,515.39,63.88,136.57,269.74
Sulawesi Tenggara,,,149.44,128.58,131.12
Gorontalo,,,20.07,1.18,0.21
Sulawesi Barat,,,,,
Maluku,,,813.44,485.59,461.93
Maluku Utara,,,119.08,337.65,409.09
Papua Barat,,,226.72,263.88,270.64
Papua,,,335.18,346.42,384.24
Indonesia,13347.14,13488.27,6420.59,6080.40,6481.89
