Provinsi,2019,2020,2021,2022,2023
Aceh,,9.20,,,
Sumatera Utara,267.75,92.77,153.95,196.27,69.55
Sumatera Barat,,,11.36,6.51,10.88
Riau,122.40,122.40,1250.82,2166.55,2276.35
Jambi,,,117.99,138.20,92.45
Sumatera Selatan,671.20,509.84,628.94,494.06,453.60
Bengkulu,,,,,
Lampung,,,398.20,460.66,402.96
Bangka Belitung,,,313.22,302.69,233.41
Kepulauan Riau,1828.79,2121.88,1735.82,1188.30,1262.99
DKI Jakarta,,,,,
Jawa Barat,1897.79,1158.62,1070.39,239.23,62.15
Jawa Tengah,,,,,
D.I Yogyakarta,,,,,
Jawa Timur,299.17,899.51,0.92,0.13,0.50
Banten,,,,,
Bali,1003.84,653.17,48.92,126.64,376.41
Nusa Tenggara Barat,48.39,,59.11,79.66,115.93
Nusa Tenggara Timur,,,,,
Kalimantan Barat,23.49,23.49,2.45,2.33,2.90
Kalimantan Tengah,,,,,
Kalimantan Selatan,230.05,248.25,1.21,1.05,1.17
Kalimantan Timur,738.29,738.29,386.90,302.62,373.96
Kalimantan Utara,,,,,
Sulawesi Utara,,,,,
Sulawesi Tengah,,,,,
Sulawesi Selatan,34.25,,2.10,14.63,70.61
Sulawesi Tenggara,,,,,
Gorontalo,,,117.58,181.22,185.45
Sulawesi Barat,,,,,
Maluku,,,,,
Maluku Utara,,,,,51.17
Papua Barat,110.04,110.04,70.17,,
Papua,57.76,57.76,,,
Indonesia,7333.21,6745.21,6372.76,5900.74,6042.43
