Provinsi,2019,2020,2021,2022,2023
Aceh,0.73,0.73,120.74,117.00,117.76
Sumatera Utara,87.83,87.83,715.84,872.62,1112.80
Sumatera Barat,145.88,158.87,188.32,298.03,304.85
Riau,,,,,
Jambi,,,,1.04,0.62
Sumatera Selatan,2.44,2.44,64.34,117.00,104.09
Bengkulu,,,139.70,274.94,227.23
Lampung,,,,21.97,45.33
Bangka Belitung,,,,,
Kepulauan Riau,,,,,
DKI Jakarta,,,,,
Jawa Barat,71.33,77.75,452.08,567.07,613.94
Jawa Tengah,8.61,123.32,61.38,55.80,64.95
D.I Yogyakarta,,,3.32,3.51,3.48
Jawa Timur,0.10,0.10,15.64,58.07,60.22
Banten,,,70.16,75.51,45.97
Bali,6.94,6.94,8.64,7.64,7.64
Nusa Tenggara Barat,42.65,41.83,54.46,59.77,56.83
Nusa Tenggara Timur,,,5.42,5.52,4.34
Kalimantan Barat,21.68,21.68,1.67,7.15,4.39
Kalimantan Tengah,,,,,
Kalimantan Selatan,,,,,
Kalimantan Timur,,,,,
Kalimantan Utara,,,,,
Sulawesi Utara,10.79,10.79,40.38,41.89,36.26
Sulawesi Tengah,84.00,84.00,171.55,201.00,225.63
Sulawesi Selatan,192.79,192.79,4.23,318.77,238.28
Sulawesi Tenggara,2.00,2.00,,29.72,22.92
Gorontalo,10.64,10.64,18.80,21.00,19.80
Sulawesi Barat,,3.74,0.00,,
Maluku,,,,,
Maluku Utara,,,1.67,11.32,13.89
Papua Barat,,,,12.92,
Papua,,,,,19.80
Indonesia,686.41,819.70,2133.44,3210.03,3351.03
