Provinsi,2019,2020,2021,2022,2023
Aceh,93.97,93.97,1126.14,1189.31,1585.17
Sumatera Utara,6461.22,9735.49,4685.99,4981.06,5173.96
Sumatera Barat,,2169.07,2237.32,1765.99,1791.52
Riau,2.95,2.95,1236.63,1238.06,1280.71
Jambi,,,43.49,46.23,38.73
Sumatera Selatan,8772.94,9134.11,7830.79,7302.48,8803.44
Bengkulu,,,1025.20,1049.06,1084.08
Lampung,6.30,6.30,2608.56,2581.21,2676.89
Bangka Belitung,529.57,543.82,575.91,489.53,586.03
Kepulauan Riau,707.34,311.07,896.80,853.41,798.97
DKI Jakarta,1023.59,744.21,789.11,157.39,201.05
Jawa Barat,19918.03,19674.62,16817.65,17134.24,21118.50
Jawa Tengah,38360.20,39273.32,39995.93,58065.19,63224.97
D.I Yogyakarta,,,,,
Jawa Timur,48003.76,48289.02,40242.56,37543.56,35913.65
Banten,44449.64,41764.24,51729.43,51578.38,51352.78
Bali,3051.81,3051.81,2865.77,2784.08,2816.46
Nusa Tenggara Barat,677.26,745.59,687.52,708.85,785.95
Nusa Tenggara Timur,139.99,283.95,368.43,533.79,549.36
Kalimantan Barat,162.86,7.01,1791.94,2167.04,2380.04
Kalimantan Tengah,97.23,,1577.4,1656.96,1940.05
Kalimantan Selatan,4724.28,4249.89,2690.36,2880.84,3291.54
Kalimantan Timur,1235.44,899.66,2832.46,3148.63,3732.41
Kalimantan Utara,44.19,,58.11,62.17,55.56
Sulawesi Utara,778.17,733.11,894.67,889.11,1073.42
Sulawesi Tengah,23.44,23.44,42.92,45.49,76.57
Sulawesi Selatan,4340.40,4338.43,3821.26,4779.77,5447.38
Sulawesi Tenggara,,,836.33,892.57,938.13
Gorontalo,76.81,76.81,400.58,557.73,617.64
Sulawesi Barat,,,245.71,321.10,236.79
Maluku,87.80,90.58,,,
Maluku Utara,,,79.50,68.96,120.45
Papua Barat,,,67.29,,
Papua,6.41,,30.99,68.50,55.04
Indonesia,183775.59,186242.48,191132.76,207540.69,219747.27
